drug,slang list
percocet,"['512s', 'bananas', 'blue', 'blue dynamite', 'blueberries', 'buttons', 'ercs', 'greenies', 'hillbilly heroin', 'kickers', 'm-30s', 'paulas', 'percs', 'rims', 'tires', 'wheels']"
suboxone,"['boxes', 'bupes', 'oranges', 'sobos', 'stop signs', 'stops', 'subs']"
fentanyl,"['apache', 'birria', 'blonde', 'blue diamond', 'blue dolphin', 'blues', 'butter', 'china girl', 'china town', 'china white', 'chinese', 'chinese buffet', 'chinese food', 'crazy', 'crazy one', 'dance fever', 'dragon', 'dragon’s breath', 'f', 'food', 'freddy', 'fuf', 'facebook', 'fent', 'fenty', 'fire', 'friend', 'girl', 'goodfella', 'great bear', 'gray stuff', 'he-man', 'heineken', 'huerfanito', 'humid', 'jackpot', 'king ivory', 'lollipop', 'murder 8', 'nal', 'nil', 'nyl', 'opes', 'pharmacy', 'poison', 'shoes', 'snowflake', 'tango and cash', 'tnt', 'toe tag dope', 'white girl', 'white ladies']"
heroin,"['abajo', 'a-bomb', 'achivia', 'adormidera', 'amarilla', 'anestesia de caballo', 'antifreeze', 'apodo', 'arpon', 'aunt hazel', 'avocado', 'azucar', 'bad seed', 'baja corte', 'ballot', 'basketball', 'basura', 'beast', 'beyonce', 'big bag', 'big h', 'big harry', 'bird', 'birdie powder', 'birria', 'birria blanca', 'black', 'black bitch', 'black goat', 'black olives', 'black paint', 'black pearl', 'black sheep', 'black shirt', 'black tar', 'blanco', 'blue', 'blow dope', 'blue hero', 'bombita', 'bombs away', 'bonita', 'boy', 'bozo', 'brea negra', 'brick gum', 'brown', 'brown crystal', 'brown rhine', 'brown sugar', 'bubble gum', 'burrito', 'butter', 'caballo', 'caballo negro', 'caca', 'café', 'cajeta', 'capital h', 'cardio', 'carga', 'caro', 'cement', 'certificada', 'chapopote', 'charlie', 'charlie horse', 'chavo', 'cheese', 'chicle', 'chiclosa', 'china', 'china blanca', 'china cat', 'china white', 'chinese buffet', 'chinese food', 'chinese red', 'chip', 'chiva', 'chiva blanca', 'chiva loca', 'chiva negra', 'chivones', 'chocolate', 'chocolate balls', 'chocolate shake', 'choko', 'chorizo', 'churro negro', 'chutazo', 'coco', 'coffee', 'cohete', 'comida', 'crown crap', 'curley hair', 'dark', 'dark girl', 'dark kind', 'dead on arrival', 'diesel', 'dirt', 'dog food', 'doggie', 'doojee', 'dope', 'dorado', 'down', 'downtown', 'dragon', 'dreck', 'dynamite', 'dyno', 'el diablo', 'engines', 'enrique grande', 'esquina', 'esquinilla', 'fairy dust', 'flea powder', 'food', 'foolish powder', 'galloping horse', 'gamot', 'gato', 'george smack', 'girl', 'globo', 'goat', 'golden girl', 'good and plenty', 'good h', 'goofball', 'goma', 'gorda', 'gras', 'grasin', 'gravy', 'gum', 'h', 'h-caps', 'hairy', 'hard candy', 'hard one', 'harry', 'hats', 'hazel', 'heaven dust', 'heavy', 'helen', 'helicopter', 'hell dust', 'henry', 'hercules', 'hero', 'him', 'hombre', 'horse', 'hot dope', 'huera', 'hummers', 'jojee', 'joy flakes', 'joy powder', 'junk', 'kabayo', 'karachi', 'karate', 'king’s tickets', 'la tierra', 'lemonade', 'lenta', 'lifesaver', 'manteca', 'marias', 'marrion', 'mayo', 'mazpan', 'meal', 'menthol', 'mexican brown', 'mexican food', 'mexican horse', 'mexican mud', 'mexican treat', 'modelo negra', 'mojo', 'mole', 'mongega', 'morena', 'morenita', 'mortal combat', 'motors', 'mud', 'mujer', 'murcielago', 'muzzle', 'nanoo', 'negra', 'negra tomasa', 'negrita', 'nice and easy', 'night', 'noise', 'obama', 'old steve', 'pants', 'patty', 'peg', 'p-funk', 'piezas', 'plata', 'poison', 'polvo', 'polvo de alegria', 'polvo de estrellas', 'polvo feliz', 'poppy', 'powder', 'prostituta negra', 'puppy', 'pure', 'rambo', 'raw', 'red chicken', 'red eagle', 'reindeer dust', 'roofing tar', 'ruby', 'sack', 'salt', 'sand', 'scag', 'scat', 'schmeck', 'scramble', 'sheep', 'shirts', 'shoes', 'skag', 'skunk', 'slime', 'smack', 'smeck', 'snickers', 'soda', 'speedball', 'spider blue', 'sticky kind', 'stufa', 'sugar', 'sweet jesus', 'tan', 'tar', 'tecata', 'thunder', 'tires', 'tomasa', 'tootsie roll', 'tragic magic', 'trees', 'turtle', 'vidrio', 'weights', 'whiskey', 'white', 'white boy', 'white girl', 'white junk', 'white lady', 'white nurse', 'white shirt', 'white stuff', 'wings', 'witch', 'witch hazel', 'zapapote']"
hydrocodone,"['357s', 'bananas', 'dones', 'dro', 'droco', 'fluff', 'hydros', 'idiot pills', 'lemonade', 'lorries', 'scratch', 'tabs', 'triple v', 'veeks', 'vics', 'vikes', 'watsons']"
hydromorphone,"['d', 'dillies', 'k4', 'needle candy']"
morphine,"['dreamer', 'first line', 'god’s drug', 'joy juice', 'miss emma', 'monkey', 'mister blue', 'morpho', 'unkie', 'white stuff']"
opium,"['ah-pen-yen', 'auntie', 'aunt emma', 'big o', 'black', 'black pill', 'black russian', 'chandoo', 'china', 'chinese molasses', 'chinese tobacco', 'chocolate', 'cruz', 'dopium', 'dover’s powder', 'dream gum', 'dream stick', 'dreams', 'easing powder', 'fi-do-nie', 'gee', 'god’s medicine', 'goma', 'gondola', 'goric', 'great tobacco', 'gum', 'guma', 'hocus', 'hops', 'incense', 'joy plant', 'midnight oil', 'mira', 'ope', 'opio', 'pen yan', 'pin gon', 'pin yen', 'pox', 'skee', 'toxy', 'toys', 'when-shee', 'zero']"
oxycodone,"['30s', '40s', '512s', 'beans', 'blues', 'buttons', 'cotton', 'greens', 'hillbilly heroin', 'kickers', 'killers', 'muchachas', 'mujeres', 'oc', 'oxy', 'oxy 80s', 'roxy', 'roxy shorts', 'whites']"
