drug,slang list
buprenorphine,"['rapid sub taper', 'quick sub taper', 'butrans', 'rapid taper', 'buprenophine', 'niaspan', 'burprenorphin', 'temgesic', 'norbupe', 'into precipitated wd', 'bunavail', 'subotex', 'zubsolv', 'butran', 'belbucca', 'sebutec', 'buprenorephine', 'sebulex', 'buprenophrine', 'buprenorfine', 'norspan', 'precipitated wd', 'suboxone subutex', 'ween down', 'subutex', 'buprenephrine', 'suboxone induction', 'suboxone saved my life', 'buprinex', 'subetex', 'buprinorphine', 'doctors prescribe suboxone', 'indivior', 'buprenorphine', 'suboxone works great', 'quick taper', 'buprenex', 'simbadol', 'subutec', 'sub taper', 'belbuca', 'quit subs', 'buprenorphone', 'precipitated wds', 'suboxone maintenance therapy', 'taking suboxone daily', 'suboxone withdrawal lasted', 'dose suboxone', 'buprenorphrine', 'bupenorphrine', 'avoid pwd', 'sub wds', 'lorsban', 'start taking suboxone', 'tapering off subs', 'buprenephorine', 'buperenorphine', 'shooting subs', 'stop taking suboxone', 'subtex', 'bup', 'suboxone doctor told', 'subutexes', 'suboxone withdrawal lasts', 'precipitated withdrawals', 'suboxone', 'buprenorphin', 'buprenoprhine', 'probuphine', 'transdermal patch', 'buprenorpine', 'buprnorphine', 'bupronorphine', 'subutext', 'bupenorphin', 'buprenorohine', 'buponorphine', 'started subs', 'full agonist opioid', 'buprenorphene', 'buprenorfin', 'withdrawaled', 'burprenorphine', 'on buprenorphine maintenance', 'bupranorphine', '2mg suboxone daily', 'subtuex', 'cause pwd', 'bupenorphine', 'suboxone treatment program', 'bupernorphine', 'bupeprenorphine', 'precipitated withdrawal']"
hydrocodone,"['korbo', 'acetometaphen', 'stopped taking vicodin', 'trammies', 'viciden', 'lorcets', 'tussonex', 'tussenex', 'hydro and oxy', '325mgs', 'vicrin', 'wd sucks', 'hydramat', 'nohbo', 'acetametaphen', 'ibproufin', 'exhydro', 'qorvo', 'hydrocodne', 'loratab', 'opioid pain pills', '40 mg hydrocodone', 'vicodens', 'hydrocodene', 'percribed', 'vidodin', '10mg hydrocodone pills', 'lornetc', 'stronger than hydro', 'vicoprofens', 'vicotin', '20mg hydro', 'vicoprofren', 'zyhydro', 'lorotab', 'oxycet', 'tynlenol', 'dicodin', 'loracets', 'hydrocodone', 'vicoden', 'started taking oxy', 'loracet', 'torjet', 'acetometophine', 'different pain med', 'lorcet', 'maximum daily dose', 'hycodan', 'cocaaaaaaaaine', 'vicodins', 'vicodin es', 'vikaden', '5mg hydros', 'painkillers', 'hydrocodone bitartrate', 'hydorocodone', 'vikodin', '325 mg', 'vicodon', '10mg norcos', 'hydrocondone', 'nice warm body high', 'streetvalue', 'zohydros', 'acetometophin', 'hydroco', 'crazy strong painkillers', 'hydrcodone', 'good pain killers', 'vicodan', 'stop taking hydrocodone', 'hydracodone', 'norco', 'doctor prescribed vicodin', 'lorotabs', 'hydocodone', 'vicadine', 'vic 5', 'hydromet', 'dialuadid', 'hudrocodone', 'soltab', 'taking 10mg hydrocodone', 'vicoprofin', 'hydrocdone', 'tylenol 3s', 'vicaden', 'tussilan', 'norcs', '325s', 'zohydro', 'tussionex', 'loratabs', 'hydrocone', 'ibudone', 'hydrotussin', 'legally prescribed painkillers', 'thebacon', 'hydrochodone', 'hydrocodone acetaminophen', 'stopped taking hydrocodone', '60 mg hydrocodone', 'vicoprofen', '30mg of hydro', 'prescribed painkillers', 'painkilllers', 'better pain med', 'painkilers', 'viccodin', 'vicodin tablets', 'abused prescription pain', 'acetometaphin', 'hyrocodone', 'hydrocloride', 'viocodin', 'vikoden', 'hycet', 'started taking hydrocodone', 'pain pill prescription', 'vicadins', 'hydroxodone', 'hyrdrocodone', 'hydrocorone', 'vicodine', 'hydrocort', 'hydroconde', 'dauladid', 'hyrdocodone', ""tylenol 3's"", 'hydrazone', 'acetemetaphine', 'each tablet', 'tussigon', 'hydrodone', 'recretionally', 'vicodin', 'hydrocodones', 'nonco', 'vicadin', 'great pain meds', 'lortab', 'tylenol 4', 'vicidon', 'norket', 'dihydrocodeinone', 'vicodans', 'recreactionally', 'loritab', 'prescribed oxy', 'norcos', 'snorting half', 'vicadon', 'trammys', 'vocodin', ""bad wd's"", 'tussinex', 'vicidin', 'nsrct', 'hydrocodon', 'painkiller', 'hydro syrup', 'painpills', 'actual pain killers', 'hydrocodone apap', 'narcotic pain pill', 'lortabs', 'loritabs']"
oxymorphone,"['opxa', 'omwana', 'favorite opiate', 'oxana', 'oxymorphones', ""hadn't touched opiates"", 'oxymorpone', 'loved opiates', 'weaker opiates', 'opana er', 'touched opiates', 'heavy opiate addiction', 'opanaer', 'opiate career', 'opiate pills', 'euphoric opiate', 'opiates occasionally', 'oxymorohone', 'never ived', 'opana 10mg irs', 'opans', 'optha', 'dopana', 'g77s', 'opiate rush', 'worst opiate withdrawals', 'g74', 'decent opiate', 'oxymorphone', 'aopanda', 'opana40', 'ivd', 'recreational opiate users', 'ppara', 'oxymorophone', 'parna', 'oxymoprhone', 'opnt', 'opffa', 'g74s', 'taking prescription opiates', ""never iv'd"", 'never ivd', 'oxymorphone hydrochloride', 'opiate experience', 'opiate pill', 'osanai', 'oxymorphine', ""never iv'ed"", 'ir opanas', 'opanda', 'opanas', 'prescription opiate users', 'k71', 'opanna', 'numorphan', '10mg ir opanas', 'opana', 'oxymorphazone', 'opanair', 'opiate of choice', '40mg opanas']"
heroin,"['speedballs', 'heroin coke', 'heroinn', 'heroin free', 'dope addicts', 'fetenayl', 'caught buying heroin', 'heroina', 'smoking or snorting', 'heroin maintenance', 'stopped taking heroin', 'gateway drug to heroin', 'diacetylmorfine', 'white powder heroin', 'afghan heroin', 'street junkie', 'smoke heroin', 'smoking heroin', 'kicking heroin', 'zeroid', 'abusing prescription opioids', 'heroin', 'iv heroin habit', 'heroin assisted', 'stronger than heroin', 'junkie', 'junkies', 'diaceytlmorphine', 'heroin withdrawals', 'casual drug users', 'junkie friend', 'heroin iv user', 'smoked heroin', 'hard drug', 'oxy heroin', 'bags of heroin', 'physically addictive drugs', 'diamorphone', 'heroim', 'diacytlmorphine', 'pharmacy grade heroin', 'heroin iv', 'smoking tar heroin', 'street heroin purity', 'terrible drug', 'nerotin', 'iv heroin users', 'dealers selling heroin', 'stop selling heroin', 'dealers cut heroin', 'diactylmorphine', 'heroin trade', 'deadly drugs', 'krocodil', 'heroin dealers cut', 'heroine addict', 'pretty bad drug', 'worst drug', 'snorted heroin', 'heroin users report', 'monoacetylmorphine', 'haroin', 'highly addictive substance', 'high grade heroin', 'ex junkie', 'asian heroin', 'street junkies', 'heror', 'super pure heroin', 'hardcore drugs', 'acetylmorphine', 'hardcore heroin users', 'dicetylmorphine', 'average street heroin', 'quitting heroin', 'drugs legal', 'speed balling', 'pharm grade heroin', 'street grade heroin', 'heroin opiates', 'diacetylmorphine', 'hemroid', 'actively addicted', 'worse drug', 'low quality heroin', 'iv heroin daily', 'heroin lol', 'start shooting heroin', 'heroow', 'herion', 'highly addictive drug', 'called heroin', 'unlike heroin', 'providing free heroin', 'hard drug addicts', '3 mam', 'heroi', 'fucking heroin dealer', 'diacteylmorphine', 'regular heroin user', 'banging heroin', 'caught selling heroin', 'heyron', 'teroir', 'worse than heroin', 'iv heroin addict', 'heroin crack', 'legally buy heroin', 'diacetylemorphine', 'full blown junkie', 'stop taking heroin', 'diamorphine', 'hard drug addict', 'poor quality heroin', 'drug dealers selling', 'fent cut heroin', 'devils drug', 'became addicts', 'buy pure heroin', 'inject heroin', 'se asian heroin', 'homeless junkie', 'pure white heroin', 'physically addictive drug', 'china white heroin', 'as iv heroin', 'kick heroin addiction', 'diamorphene', 'hard core drug', 'started snorting oxy', 'an opiod addiction', 'legalize heroin', 'diacethylmorphine', 'hardcore addicts', 'heroin production', 'pure pharmaceutical heroin', 'kick heroin', 'prescription narcotics', 'extremely dangerous drugs', 'heroiin', 'heroins', 'start taking oxy', 'quit heroin', 'highly addictive substances', 'drugs anymore', 'dope addict', 'hereoin', 'illegal drug users', 'gonna shoot heroin', 'soft drug users', 'shooting dope', 'brown powder heroin', 'prefer heroin', 'addictive drugs', 'heroin detox', 'opitaes', 'addictive drug', 'worse drugs', 'diamorphin', 'uncut heroin', 'long term addicts', 'herioin', 'selling heroin laced', 'heroin tolerance', 'heroin holiday', 'opiate heroin', 'herojn', 'hard drugs tend', 'kicked heroin', 'highly addictive drugs', 'low grade heroin', 'pure uncut heroin', 'illegal drug deaths', 'heroin in', 'southeast asian heroin', 'quit shooting heroin', 'acetylcodeine', 'heroin possession', 'sell heroin', 'stereotypical junkie', 'dimorphine', 'heroin toxicity', 'prescription drug addicts', 'hard drug user', 'heroin death', 'clean from heroin', 'start banging heroin', 'hardcore heroin', 'incredibly addictive drugs', 'serotin', 'opiates heroin', 'illicit heroin', 'heroin users reported', 'shooting speedballs', 'start buying heroin', 'former junkie', 'heroin addiction starts', 'heroin users typically', 'harder drugs', 'extremely addictive drugs', 'heroin overdoses happen', 'opioid addictions', 'shot up heroin', 'horrible drugs', 'shoot heroin', 'heroine addicts', 'typical drug addict', 'crave heroin']"
ethylmorphine,"['tussipax', 'cosylan', 'ethylmorphine']"
hydromorphinol,['hydromorphinol']
carfentanil,"['carfenanyl', 'carfentinal', 'carafentanil', 'cafentanil', 'carfentil', 'carfentynal', 'carfetanil', 'carfentenil', 'carafentanyl', 'carfentinyl', 'carfentail', 'carfentinil', 'carfentynol', 'elephant tranquilizer', 'carfetanyl', 'carfentanil', 'carefentanil', 'carfentanyl', 'extremely potent opioids', 'carfentayl', 'norfentanyl', 'carfentenyl', 'carfentnyl']"
dihydrocodeine,"['trezix', 'dihydrocodone', 'hydrocod', 'hydrocodin', 'dihydrocodeine', 'dihydrocodeines', 'hydrocodeine', 'dhc', 'dihydrocodine', 'dihydracodine', 'dihydracodeine', 'dihydrocodein', 'dihydrocodene', 'dihydrocodiene', 'dyhydrocodeine', 'df118']"
dihydromorphine,['dihydromorphine']
3-methylfentanyl,"['mefentanyl', 'methylfentanyl']"
nalorphine,['nalorphine']
normethadone,"['cophylac', 'normorphine', 'normethadone']"
